Rack ID,Sample Number,Batch Number,Number Destinations,Total Samples In Batch
025DNA0002101,4,25,1,96
025DNA0002106,4,25,1,96
025DNA0000830,5,25,1,96
025DNA0000824,6,25,1,96
025DNA0000563,7,25,1,96
025DNA0000387,8,25,1,96
025DNA0000255,9,25,1,96
025DNA0000491,15,25,1,96
025DNA0000493,15,25,1,96

025DNA0002529,1,26,1,96
025DNA0002533,1,26,1,96
025DNA0000828,2,26,1,96
025DNA0000835,2,26,1,96
025DNA0000839,2,26,1,96
025DNA0000860,2,26,1,96
025DNA0002141,3,26,1,96
025DNA0002157,3,26,1,96
025DNA0002320,3,26,1,96
025DNA0002107,4,26,1,96
025DNA0002111,4,26,1,96
025DNA0000840,5,26,1,96
025DNA0000844,5,26,1,96
025DNA0000838,6,26,1,96
025DNA0000608,7,26,1,96
025DNA0000408,8,26,1,96
025DNA0000301,9,26,1,96
025DNA0000523,14,26,1,96
025DNA0002396,15,26,1,96

025DNA0002540,1,27,1,96
025DNA0002546,1,27,1,96
025DNA0001085,2,27,1,96
025DNA0001112,2,27,1,96
025DNA0001113,2,27,1,96
025DNA0001115,2,27,1,96
025DNA0002322,3,27,1,96
025DNA0002331,3,27,1,96
025DNA0002353,3,27,1,96
025DNA0002117,4,27,1,96
025DNA0002127,4,27,1,96
025DNA0002112,5,27,1,96
025DNA0002014,6,27,1,96
025DNA0000699,7,27,1,96
025DNA0000712,7,27,1,96
025DNA0000552,8,27,1,96
025DNA0000425,9,27,1,96
025DNA0002755,13,27,1,96
025DNA0002092,14,27,1,96

025DNA0002550,1,28,1,91
025DNA0002551,1,28,1,91
025DNA0002557,1,28,1,91
025DNA0002004,2,28,1,91
025DNA0002010,2,28,1,91
025DNA0002069,2,28,1,91
025DNA0002070,2,28,1,91
025DNA0002354,3,28,1,91
025DNA0002361,3,28,1,91
025DNA0002368,3,28,1,91
025DNA0002342,4,28,1,91
025DNA0002343,4,28,1,91
025DNA0002126,5,28,1,91
025DNA0002104,6,28,1,91
025DNA0000573,8,28,1,91
025DNA0000499,9,28,1,91
025DNA0000555,11,28,1,91
025DNA0000687,12,28,1,91
025DNA0002377,12,28,1,91

025DNA0002566,1,29,1,96
025DNA0002570,1,29,1,96
025DNA0002082,2,29,1,96
025DNA0002105,2,29,1,96
025DNA0002110,2,29,1,96
025DNA0002118,2,29,1,96
025DNA0002372,3,29,1,96
025DNA0002380,3,29,1,96
025DNA0002388,3,29,1,96
025DNA0002357,4,29,1,96
025DNA0002362,4,29,1,96
025DNA0002149,5,29,1,96
025DNA0002128,6,29,1,96
025DNA0000715,7,29,1,96
025DNA0000657,8,29,1,96
025DNA0000690,9,29,1,96
025DNA0000487,10,29,1,96
025DNA0002599,12,29,1,96
025DNA0002649,12,29,1,96

025DNA0002579,1,30,1,96
025DNA0002590,1,30,1,96
025DNA0002155,2,30,1,96
025DNA0002156,2,30,1,96
025DNA0002321,2,30,1,96
025DNA0002330,2,30,1,96
025DNA0002399,3,30,1,96
025DNA0002403,3,30,1,96
025DNA0002408,3,30,1,96
025DNA0002365,4,30,1,96
025DNA0002370,4,30,1,96
025DNA0002151,5,30,1,96
025DNA0002359,6,30,1,96
025DNA0000795,7,30,1,96
025DNA0000716,8,30,1,96
025DNA0000772,9,30,1,96
025DNA0002108,10,30,1,96
025DNA0002687,12,30,1,96
025DNA0002751,12,30,1,96

025DNA0002604,1,31,1,95
025DNA0002606,1,31,1,95
025DNA0002334,2,31,1,95
025DNA0002341,2,31,1,95
025DNA0002352,2,31,1,95
025DNA0002385,2,31,1,95
025DNA0002409,3,31,1,95
025DNA0002413,3,31,1,95
